business_type,target_demographic,target_location,campaign_budget_lkr,campaign_goal,listing_type,placement_name,channel_type,district,base_cost_lkr,primary_audience,estimated_reach,historical_ctr,historical_roi,historical_conversion_rate,previous_bookings,budget_gap_lkr,audience_match_score,location_match_score,channel_match_score,reach_to_cost_ratio,match_score
E-commerce,18-24,Kadawatha,131356,App Downloads,TV Spot,Evening,Audio,Gampaha,168251,18-24,264084,0.0218,0.44,0.0362,64,-36895,0.8461,0.5335,0.5171,1.569584,0.5083
Food & Beverage,Young Professionals,Maradana,277369,Sales Conversion,Print Publication Ad,Magazine Full Page,Print,Colombo,48654,Young Professionals,129418,0.019,0.81,0.0673,41,228715,0.8811,0.8345,0.7956,2.659966,0.6631
Automotive,35-44,Dehiwala,185740,App Downloads,Outdoor Static Structure,City Center Billboard,Outdoor,Colombo,186949,35-44,57669,0.0233,0.88,0.0542,19,-1209,0.7921,0.8003,0.6537,0.308475,0.5623
Hospitality,25-34,Kandana,298029,Lead Generation,Cinema Advertising,Intermission Ad,Cinema,Gampaha,161154,25-34,24341,0.0276,1.33,0.077,48,136875,0.8104,0.5096,0.8133,0.151042,0.7275
Hospitality,55+,Kadawatha,93377,Event Promotion,Radio Spot,Midday Slot,Audio,Gampaha,37754,55+,314737,0.0115,0.97,0.036,27,55623,0.8737,0.7845,0.7641,8.336521,0.622
Hospitality,25-34,Bambalapitiya,211990,Lead Generation,TV Spot,Sports Program,Audio,Colombo,334322,25-34,556842,0.0309,0.99,0.0718,16,-122332,0.8869,0.8768,0.8249,1.665586,0.6001
Automotive,25-34,Pettah,78083,Website Traffic,Print Publication Ad,Newspaper Full Page,Digital,Colombo,92866,25-34,196077,0.018,0.59,0.0607,35,-14783,0.7715,0.7105,0.7931,2.111397,0.4767
Luxury Goods,18-24,Beruwala,31643,Event Promotion,Newsletter Ad,Monthly Newsletter,Digital,Kalutara,4559,18-24,11809,0.0322,0.56,0.0309,37,27084,0.6819,0.6735,0.5168,2.590261,0.6258
E-commerce,45-54,Divulapitiya,109221,Lead Generation,Web Display Inventory,Interstitial Ad,Digital,Gampaha,19657,45-54,280336,0.0288,0.63,0.0391,7,89564,0.8147,0.5853,0.9306,14.261383,0.7086
FMCG,18-24,Bambalapitiya,115713,Customer Retention,Print Publication Ad,Classified,Digital,Colombo,68961,18-24,344631,0.0135,0.48,0.0336,44,46752,0.8992,0.7988,0.6657,4.997477,0.5963
Travel & Tourism,35-44,Maradana,489402,Brand Awareness,Event Sponsorship,Exhibition Booth,Event,Colombo,163653,35-44,45381,0.0293,0.76,0.0557,18,325749,0.7938,0.9037,0.7212,0.2773,0.7007
Healthcare,25-34,Battaramulla,129887,Sales Conversion,TV Spot,Sports Program,Audio,Colombo,85545,25-34,276583,0.04,0.61,0.0621,29,44342,0.7893,0.88,0.607,3.233187,0.4887
Real Estate,18-24,Mathugama,114566,Customer Retention,Outdoor Static Structure,Building Wrap,Outdoor,Kalutara,71035,18-24,20751,0.0172,0.62,0.0465,21,43531,0.7471,0.6859,0.7573,0.292124,0.7055
Automotive,Affluent,Kandana,600746,Product Launch,Event Sponsorship,Exhibition Booth,Event,Gampaha,69675,Affluent,27846,0.0477,0.74,0.0684,2,531071,0.9429,0.5156,0.6508,0.399656,0.695
Travel & Tourism,18-24,Mahabage,171186,App Downloads,Cinema Advertising,Pre-show Ad,Cinema,Gampaha,113459,18-24,8123,0.0202,0.36,0.0416,18,57727,0.8882,0.8049,0.8463,0.071594,0.5902
Education,18-24,Bulathsinhala,182404,Lead Generation,Social Media Placement,LinkedIn Feed,Digital,Kalutara,67359,18-24,30039,0.0206,0.35,0.0396,13,115045,1.0,0.6602,0.523,0.445954,0.6921
Travel & Tourism,18-24,Wellawatte,375404,Brand Awareness,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Colombo,76334,18-24,108187,0.0188,0.51,0.0315,34,299070,0.9718,0.8926,0.6866,1.417285,0.5175
Technology,Students,Gampaha Town,110861,Sales Conversion,Event Sponsorship,Session Sponsor,Event,Gampaha,164697,Students,18558,0.0349,0.51,0.0306,16,-53836,1.0,0.6007,0.5685,0.11268,0.7708
Healthcare,Young Professionals,Pettah,108701,App Downloads,Web Display Inventory,Banner Ad,Digital,Colombo,14689,Young Professionals,123770,0.0235,0.84,0.0553,21,94012,0.9133,0.9039,0.6063,8.426033,0.6255
Education,35-44,Ingiriya,463409,Brand Awareness,Vehicle Wrap Media,Van Wrap,Visual,Kalutara,130756,35-44,42080,0.0322,0.92,0.0526,23,332653,0.9966,0.4389,0.7,0.321821,0.6807
E-commerce,45-54,Kandana,328508,Product Launch,Cinema Advertising,Intermission Ad,Cinema,Gampaha,44063,45-54,37194,0.019,0.58,0.0611,16,284445,0.8237,0.6465,0.8606,0.84411,0.6963
Education,45-54,Bambalapitiya,301525,Lead Generation,Newsletter Ad,Industry Digest,Print,Colombo,25604,45-54,7828,0.0265,0.93,0.0523,29,275921,0.9134,0.8146,0.875,0.305733,0.709
E-commerce,45-54,Negombo,243716,Sales Conversion,Retail & Premises Signage,Window Display,Outdoor,Gampaha,54136,45-54,14654,0.0207,0.91,0.0547,8,189580,0.8039,0.5808,0.6796,0.270689,0.6702
Real Estate,35-44,Bambalapitiya,157011,Sales Conversion,Web Display Inventory,Video Ad,Digital,Colombo,20236,35-44,216073,0.0292,0.51,0.0618,6,136775,0.9811,0.7114,0.8238,10.677654,0.7741
Fashion,Young Professionals,Divulapitiya,727154,Product Launch,Web Display Inventory,Sidebar Ad,Digital,Gampaha,26518,Young Professionals,79892,0.0178,1.23,0.0745,25,700636,0.8371,0.6441,0.5436,3.012746,0.5929
Automotive,18-24,Horana,202470,Product Launch,Retail & Premises Signage,Storefront Display,Visual,Kalutara,93800,18-24,13372,0.0241,0.69,0.0273,17,108670,0.9104,0.6503,0.8714,0.142559,0.7425
Healthcare,45-54,Kollupitiya,270992,Sales Conversion,Event Sponsorship,Presenting Sponsor,Event,Colombo,295873,45-54,37935,0.0414,1.14,0.0626,56,-24881,1.0,0.7407,0.8677,0.128214,0.793
Luxury Goods,25-34,Maradana,138912,Brand Awareness,Radio Spot,Weekend Slot,Audio,Colombo,95298,25-34,273729,0.0184,0.62,0.0767,24,43614,0.8539,0.8106,0.6868,2.872348,0.6719
Healthcare,55+,Battaramulla,81564,Website Traffic,Outdoor Static Structure,Highway Billboard,Digital,Colombo,53659,55+,121836,0.0124,0.95,0.0433,20,27905,0.8915,0.7069,0.6325,2.27056,0.6585
Automotive,35-44,Aluthgama,195246,App Downloads,Web Display Inventory,Video Ad,Digital,Kalutara,28709,35-44,68990,0.037,1.13,0.0598,59,166537,0.8612,0.5026,0.9007,2.403079,0.5597
E-commerce,35-44,Negombo,174957,App Downloads,Event Sponsorship,Presenting Sponsor,Event,Gampaha,79205,35-44,12049,0.0523,0.73,0.0572,4,95752,0.8412,0.8308,0.5927,0.152124,0.5609
Healthcare,18-24,Divulapitiya,335958,Lead Generation,Vehicle Wrap Media,Bus Wrap,Outdoor,Gampaha,79654,18-24,54358,0.0187,0.52,0.0267,28,256304,1.0,0.5479,0.8802,0.682426,0.5742
Hospitality,45-54,Beruwala,192154,App Downloads,Digital Out-of-Home Screen,Train Station Screen,Digital,Kalutara,76163,45-54,36385,0.0362,0.39,0.047,19,115991,0.839,0.3985,0.6321,0.477725,0.6015
Healthcare,45-54,Divulapitiya,243403,Customer Retention,Web Display Inventory,Interstitial Ad,Digital,Gampaha,62370,45-54,133792,0.0254,0.91,0.059,27,181033,0.9962,0.659,0.7659,2.145134,0.7574
FMCG,25-34,Mahabage,386912,Product Launch,Radio Spot,Weekend Slot,Audio,Gampaha,94740,25-34,134803,0.0181,1.21,0.0631,18,292172,0.9048,0.7515,0.5703,1.422873,0.8563
Hospitality,18-24,Kandana,184773,Customer Retention,Event Sponsorship,Session Sponsor,Event,Gampaha,227446,18-24,24800,0.025,0.6,0.0361,33,-42673,0.973,0.6401,0.5372,0.109037,0.5099
Entertainment,35-44,Dehiwala,126825,App Downloads,Outdoor Static Structure,Transit Shelter,Outdoor,Colombo,136507,35-44,31525,0.019,0.65,0.0641,8,-9682,1.0,0.7932,0.7613,0.230941,0.6518
Automotive,Young Professionals,Battaramulla,65534,Website Traffic,Cinema Advertising,Tickets Ad,Cinema,Colombo,123402,Young Professionals,21292,0.0333,1.08,0.0609,36,-57868,0.8622,0.8659,0.7591,0.172542,0.6362
Real Estate,25-34,Wellawatte,342352,Product Launch,Print Publication Ad,Newspaper Full Page,Digital,Colombo,40693,25-34,272408,0.0205,0.74,0.0781,20,301659,1.0,0.8148,0.776,6.694223,0.8253
Automotive,55+,Mahabage,95537,Website Traffic,Social Media Placement,TikTok Feed,Digital,Gampaha,16997,55+,86856,0.0209,0.65,0.0336,46,78540,0.8917,0.7239,0.7402,5.110078,0.678
Entertainment,Families,Katunayake,184467,App Downloads,Outdoor Static Structure,Transit Shelter,Digital,Gampaha,220422,Families,9814,0.0181,0.85,0.0503,28,-35955,1.0,0.5942,0.8731,0.044524,0.5306
E-commerce,35-44,Minuwangoda,166578,Sales Conversion,Outdoor Static Structure,Street Pole Banner,Digital,Gampaha,45175,35-44,58762,0.0154,1.55,0.0528,49,121403,1.0,0.7709,0.6813,1.300764,0.7909
Retail,25-34,Minuwangoda,199783,App Downloads,Cinema Advertising,Intermission Ad,Cinema,Gampaha,234740,25-34,39632,0.0318,0.77,0.0476,8,-34957,1.0,0.7358,0.6147,0.168834,0.6734
Food & Beverage,25-34,Kollupitiya,101729,Website Traffic,TV Spot,Evening,Audio,Colombo,206990,25-34,235605,0.0329,1.55,0.0625,10,-105261,0.6529,0.9481,0.5342,1.138243,0.6623
Technology,Affluent,Beruwala,299340,Brand Awareness,Native / Sponsored Content,Partner Post,Digital,Kalutara,51710,Affluent,20386,0.0415,2.04,0.0672,6,247630,0.84,0.6476,0.7895,0.394237,0.799
Technology,55+,Colombo Fort,114923,App Downloads,Retail & Premises Signage,In-Store Digital,Outdoor,Colombo,91133,55+,35190,0.0227,0.72,0.0436,43,23790,0.8123,0.8655,0.943,0.386139,0.6336
Entertainment,55+,Panadura,99097,App Downloads,Vehicle Wrap Media,Truck Wrap,Outdoor,Kalutara,64150,55+,36238,0.0231,0.95,0.0365,35,34947,0.7911,0.6406,0.525,0.564895,0.5845
Retail,Affluent,Kadawatha,328210,Lead Generation,Digital Out-of-Home Screen,Street Level Digital,Outdoor,Gampaha,164556,Affluent,78024,0.035,1.54,0.0559,23,163654,0.8678,0.6429,0.8114,0.474149,0.6972
Travel & Tourism,35-44,Panadura,631811,Product Launch,Retail & Premises Signage,In-Store Digital,Outdoor,Kalutara,81066,35-44,6407,0.0308,0.93,0.0627,6,550745,1.0,0.3803,0.857,0.079034,0.6422
FMCG,45-54,Mahabage,93649,Customer Retention,Print Publication Ad,Newspaper Half Page,Print,Gampaha,13444,45-54,82523,0.0149,0.98,0.0408,34,80205,1.0,0.6495,0.9047,6.138277,0.7818
Automotive,All Ages,Pettah,68776,Website Traffic,Outdoor Static Structure,Street Pole Banner,Outdoor,Colombo,198625,All Ages,51672,0.0252,0.37,0.0565,43,-129849,0.9829,0.7943,0.6748,0.260149,0.6431
Telecommunications,25-34,Wellawatte,170306,Customer Retention,Print Publication Ad,Magazine Spread,Print,Colombo,54595,25-34,24692,0.02,0.86,0.0561,11,115711,0.9918,0.91,0.8726,0.452276,0.764
Food & Beverage,Families,Mount Lavinia,187952,Sales Conversion,Cinema Advertising,Tickets Ad,Cinema,Colombo,170758,Families,124477,0.0248,0.97,0.0401,32,17194,1.0,0.7612,0.5543,0.728967,0.5225
Luxury Goods,45-54,Ja-Ela,104346,Lead Generation,Newsletter Ad,Industry Digest,Digital,Gampaha,48574,45-54,20850,0.0384,0.92,0.0438,18,55772,0.8634,0.5087,0.9064,0.429242,0.6613
Real Estate,Families,Colombo Fort,156044,Customer Retention,Outdoor Static Structure,Street Pole Banner,Digital,Colombo,47475,Families,92939,0.0201,0.85,0.0555,9,108569,0.9515,0.8136,0.785,1.957641,0.5648
Healthcare,25-34,Battaramulla,67540,Sales Conversion,Social Media Placement,Twitter/X Feed,Digital,Colombo,52474,25-34,311962,0.0376,0.76,0.0577,32,15066,0.976,0.8773,0.7427,5.945078,0.7312
Technology,Young Professionals,Mathugama,627932,Product Launch,Web Display Inventory,Sidebar Ad,Digital,Kalutara,34001,Young Professionals,118292,0.0441,1.11,0.0728,14,593931,0.9667,0.4133,0.9402,3.479074,0.5971
Travel & Tourism,45-54,Beruwala,642412,Product Launch,Retail & Premises Signage,End Cap Display,Outdoor,Kalutara,86264,45-54,7418,0.0199,0.86,0.0522,29,556148,0.9966,0.5937,0.8272,0.085992,0.7528
Food & Beverage,35-44,Mount Lavinia,174351,Customer Retention,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,189857,35-44,90061,0.0273,0.98,0.0475,19,-15506,1.0,0.7404,0.8452,0.474362,0.6759
Financial Services,Young Professionals,Panadura,165536,App Downloads,Web Display Inventory,Banner Ad,Digital,Kalutara,77764,Young Professionals,44365,0.0352,0.84,0.062,65,87772,0.9059,0.596,0.7978,0.570508,0.7193
Food & Beverage,18-24,Kadawatha,186469,Product Launch,Newsletter Ad,Promotional Email,Digital,Gampaha,53750,18-24,17733,0.024,0.62,0.0388,24,132719,0.7948,0.8115,0.9352,0.329916,0.6046
Healthcare,35-44,Katunayake,250999,Brand Awareness,Outdoor Static Structure,Transit Shelter,Digital,Gampaha,161203,35-44,43161,0.0192,1.29,0.0812,22,89796,1.0,0.7874,0.6352,0.267743,0.6703
Technology,18-24,Kollupitiya,91107,App Downloads,Outdoor Static Structure,Building Wrap,Outdoor,Colombo,172193,18-24,38119,0.0199,0.41,0.0389,6,-81086,1.0,0.8833,0.5809,0.221374,0.6118
Entertainment,Young Professionals,Battaramulla,440104,Product Launch,Newsletter Ad,Promotional Email,Digital,Colombo,32212,Young Professionals,86309,0.0557,0.78,0.0494,46,407892,0.7516,0.7544,0.541,2.679405,0.593
Luxury Goods,35-44,Maradana,133813,Brand Awareness,Native / Sponsored Content,Partner Post,Digital,Colombo,101528,35-44,153451,0.0392,0.94,0.0559,45,32285,0.953,0.9885,0.6069,1.511416,0.6883
Financial Services,Young Professionals,Mount Lavinia,429062,Brand Awareness,Retail & Premises Signage,End Cap Display,Visual,Colombo,84926,Young Professionals,19888,0.041,0.86,0.0536,68,344136,0.924,0.903,0.8005,0.23418,0.7563
Luxury Goods,35-44,Battaramulla,290566,Sales Conversion,Social Media Placement,Facebook Feed,Digital,Colombo,78529,35-44,336140,0.033,0.79,0.08,7,212037,0.908,0.776,0.7768,4.280457,0.6497
Telecommunications,45-54,Kadawatha,280137,Lead Generation,Print Publication Ad,Newspaper Half Page,Digital,Gampaha,76237,45-54,37432,0.018,0.48,0.0528,18,203900,0.7985,0.5594,0.8602,0.490995,0.8319
FMCG,25-34,Bambalapitiya,122419,Website Traffic,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,94955,25-34,168201,0.0427,1.19,0.0708,44,27464,1.0,0.9548,0.8015,1.771376,0.8651
Telecommunications,45-54,Mount Lavinia,240558,Customer Retention,Radio Spot,Prime Time Slot,Audio,Colombo,125192,45-54,245175,0.0198,1.13,0.0529,41,115366,0.7693,0.8902,0.7651,1.958392,0.6755
Financial Services,Affluent,Minuwangoda,158333,Sales Conversion,Cinema Advertising,Lobby Display,Cinema,Gampaha,77463,Affluent,7877,0.0213,1.52,0.0874,32,80870,0.9051,0.6615,0.6374,0.101687,0.6814
Education,25-34,Kollupitiya,75234,Lead Generation,Retail & Premises Signage,Window Display,Outdoor,Colombo,26530,25-34,14964,0.0287,0.73,0.0627,16,48704,0.9294,0.7489,0.7463,0.564041,0.6985
Luxury Goods,35-44,Kalutara Town,108645,Lead Generation,Vehicle Wrap Media,Truck Wrap,Outdoor,Kalutara,100456,35-44,8028,0.0269,0.63,0.0736,8,8189,1.0,0.5386,0.9372,0.079916,0.6664
Healthcare,45-54,Negombo,195721,Sales Conversion,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Gampaha,217688,45-54,27951,0.0388,0.77,0.0604,48,-21967,0.8682,0.6094,0.6014,0.128399,0.786
E-commerce,45-54,Dodangoda,68902,App Downloads,Outdoor Static Structure,Street Pole Banner,Digital,Kalutara,128605,45-54,34175,0.0159,0.58,0.0452,38,-59703,0.9497,0.561,0.7955,0.265736,0.6693
Retail,35-44,Kollupitiya,113842,Customer Retention,Social Media Placement,Twitter/X Feed,Digital,Colombo,58446,35-44,205888,0.0355,0.37,0.064,35,55396,0.9101,0.8139,0.6622,3.522705,0.749
Real Estate,35-44,Pettah,95653,Website Traffic,Vehicle Wrap Media,Car Wrap,Visual,Colombo,73487,35-44,86770,0.0348,0.98,0.0476,22,22166,0.6856,0.9177,0.7685,1.180753,0.5759
Technology,35-44,Gampaha Town,272431,Sales Conversion,Retail & Premises Signage,Window Display,Outdoor,Gampaha,79936,35-44,13030,0.0359,1.5,0.0599,30,192495,1.0,0.6348,0.5016,0.163005,0.6728
Entertainment,25-34,Minuwangoda,210004,Lead Generation,Newsletter Ad,Weekly Newsletter,Digital,Gampaha,12811,25-34,65166,0.0567,0.8,0.0756,31,197193,0.8265,0.7441,0.7853,5.086722,0.8831
Luxury Goods,35-44,Mahabage,116999,Sales Conversion,Outdoor Static Structure,Building Wrap,Digital,Gampaha,209580,35-44,9869,0.0257,1.48,0.0591,15,-92581,0.8165,0.788,0.5516,0.047089,0.6179
Fashion,18-24,Maradana,75510,Event Promotion,Vehicle Wrap Media,Truck Wrap,Visual,Colombo,145919,18-24,69534,0.0268,0.66,0.0419,14,-70409,0.9562,0.9636,0.8527,0.476525,0.695
Real Estate,45-54,Bambalapitiya,56394,Website Traffic,Print Publication Ad,Newspaper Full Page,Digital,Colombo,56404,45-54,209809,0.0187,1.09,0.0483,10,-10,1.0,0.8163,0.75,3.719754,0.6473
Hospitality,25-34,Kandana,124140,Lead Generation,Print Publication Ad,Classified,Digital,Gampaha,65338,25-34,82453,0.0139,0.87,0.0651,41,58802,0.7257,0.8019,0.9437,1.261946,0.6745
Real Estate,55+,Battaramulla,94168,Website Traffic,Retail & Premises Signage,Window Display,Visual,Colombo,71373,55+,44109,0.0168,1.06,0.037,6,22795,0.9373,0.9388,0.7442,0.618007,0.6826
Entertainment,Affluent,Dehiwala,75316,Website Traffic,Vehicle Wrap Media,Bus Wrap,Visual,Colombo,284645,Affluent,48097,0.0338,1.22,0.0632,14,-209329,0.8366,0.8771,0.6496,0.168972,0.5286
Hospitality,Young Professionals,Horana,79736,Customer Retention,TV Spot,Evening,Audio,Kalutara,203008,Young Professionals,64718,0.0305,0.83,0.0532,15,-123272,0.8037,0.5348,0.7857,0.318795,0.66
Telecommunications,55+,Bandaragama,343824,Brand Awareness,Event Sponsorship,Presenting Sponsor,Event,Kalutara,276261,55+,9589,0.0294,0.56,0.0447,23,67563,0.7188,0.3243,0.5624,0.03471,0.3424
E-commerce,45-54,Colombo Fort,69628,App Downloads,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Colombo,184800,45-54,52496,0.032,1.17,0.0606,36,-115172,0.943,0.9856,0.6329,0.284069,0.6958
Technology,35-44,Negombo,164740,Event Promotion,Digital Out-of-Home Screen,Airport Digital Display,Digital,Gampaha,117903,35-44,61522,0.041,0.81,0.078,1,46837,0.9658,0.6847,0.8171,0.521802,0.8064
Luxury Goods,Young Professionals,Minuwangoda,109377,Website Traffic,Social Media Placement,Twitter/X Feed,Digital,Gampaha,74335,Young Professionals,75597,0.0346,0.7,0.0591,5,35042,0.8894,0.7951,0.8839,1.016977,0.7498
Luxury Goods,Young Professionals,Ingiriya,300397,Product Launch,Social Media Placement,Twitter/X Feed,Digital,Kalutara,34704,Young Professionals,180943,0.0321,0.73,0.0652,46,265693,0.852,0.3075,0.6762,5.213895,0.5124
Entertainment,All Ages,Pettah,244646,Brand Awareness,Outdoor Static Structure,Building Wrap,Outdoor,Colombo,104906,All Ages,51637,0.0125,0.72,0.0507,47,139740,1.0,0.8404,0.7902,0.492222,0.8593
Luxury Goods,35-44,Kadawatha,355840,Brand Awareness,Social Media Placement,TikTok Feed,Digital,Gampaha,60268,35-44,64729,0.0353,0.92,0.0477,16,295572,1.0,0.5512,0.6068,1.074019,0.5983
Education,Families,Dehiwala,43782,Event Promotion,Web Display Inventory,Banner Ad,Digital,Colombo,76450,Families,297952,0.0238,1.23,0.0613,34,-32668,1.0,0.9631,0.6715,3.897345,0.7621
Retail,35-44,Panadura,113207,Sales Conversion,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Kalutara,240416,35-44,57305,0.0392,0.99,0.0772,7,-127209,0.979,0.6995,0.9289,0.238358,0.7814
Hospitality,Families,Katunayake,184574,Lead Generation,Native / Sponsored Content,Partner Post,Digital,Gampaha,44809,Families,39105,0.0451,0.84,0.0603,12,139765,0.9445,0.7708,0.8963,0.872704,0.7262
Healthcare,45-54,Wellawatte,94446,App Downloads,Digital Out-of-Home Screen,Train Station Screen,Digital,Colombo,103389,45-54,149758,0.0289,0.61,0.0679,29,-8943,0.869,0.9038,0.703,1.448491,0.7821
E-commerce,18-24,Divulapitiya,88624,Customer Retention,Vehicle Wrap Media,Van Wrap,Visual,Gampaha,42166,18-24,70991,0.0196,0.28,0.0382,21,46458,0.8227,0.7537,0.7754,1.683608,0.6882
Food & Beverage,All Ages,Nugegoda,32432,Website Traffic,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Colombo,58592,All Ages,82698,0.0219,1.07,0.0543,17,-26160,0.819,0.8589,0.8001,1.411421,0.7085
Hospitality,Young Professionals,Ja-Ela,195027,Customer Retention,Vehicle Wrap Media,Car Wrap,Visual,Gampaha,89538,Young Professionals,26230,0.0387,0.8,0.0565,29,105489,0.8811,0.6936,0.5791,0.292948,0.5778
Telecommunications,55+,Wattala,119377,Lead Generation,Newsletter Ad,Weekly Newsletter,Digital,Gampaha,46654,55+,17543,0.0274,0.55,0.0387,28,72723,0.9525,0.5805,0.8678,0.376023,0.694
Retail,Families,Bambalapitiya,169344,Brand Awareness,Retail & Premises Signage,Counter Display,Visual,Colombo,68545,Families,13755,0.0285,0.89,0.0549,34,100799,0.9656,0.9146,0.8874,0.200671,0.7361
FMCG,All Ages,Ja-Ela,109647,Event Promotion,Vehicle Wrap Media,Bus Wrap,Visual,Gampaha,59075,All Ages,54529,0.0299,1.0,0.0407,55,50572,1.0,0.8104,0.7592,0.923047,0.6383
Travel & Tourism,Affluent,Wellawatte,193198,App Downloads,Native / Sponsored Content,Review Sponsorship,Digital,Colombo,19557,Affluent,61287,0.0417,1.42,0.0773,34,173641,0.8042,0.9745,0.849,3.133763,0.7291
Financial Services,55+,Mathugama,115812,Lead Generation,Web Display Inventory,Video Ad,Digital,Kalutara,36054,55+,120602,0.0182,0.99,0.0454,55,79758,0.8244,0.4591,0.9094,3.345038,0.5816
Healthcare,45-54,Minuwangoda,53711,Customer Retention,Cinema Advertising,Pre-show Ad,Cinema,Gampaha,57393,45-54,36740,0.0141,0.89,0.0564,7,-3682,1.0,0.6135,0.6396,0.640148,0.5557
Travel & Tourism,18-24,Horana,220082,Lead Generation,Newsletter Ad,Monthly Newsletter,Digital,Kalutara,41486,18-24,31087,0.0354,0.52,0.0348,27,178596,1.0,0.4577,0.638,0.749337,0.7931
E-commerce,45-54,Battaramulla,284264,Lead Generation,Print Publication Ad,Newspaper Full Page,Print,Colombo,53135,45-54,69299,0.0151,0.72,0.0434,0,231129,0.8661,0.7233,0.6178,1.304206,0.6559
Real Estate,18-24,Kandana,87373,Lead Generation,Vehicle Wrap Media,Bus Wrap,Outdoor,Gampaha,97489,18-24,19487,0.0233,0.62,0.044,35,-10116,1.0,0.7176,0.8422,0.199889,0.6792
Real Estate,45-54,Minuwangoda,152611,Product Launch,Radio Spot,Morning Drive,Audio,Gampaha,46163,45-54,77247,0.019,0.33,0.049,65,106448,0.9925,0.5084,0.6141,1.673353,0.6398
Travel & Tourism,Young Professionals,Minuwangoda,564584,Product Launch,Retail & Premises Signage,In-Store Digital,Outdoor,Gampaha,98697,Young Professionals,14542,0.0394,0.61,0.0735,29,465887,0.804,0.669,0.8869,0.14734,0.6968
Technology,18-24,Mahabage,139785,Customer Retention,Newsletter Ad,Monthly Newsletter,Digital,Gampaha,37098,18-24,59913,0.0296,0.53,0.0313,33,102687,0.9948,0.6447,0.6993,1.614993,0.7817
Travel & Tourism,Young Professionals,Bulathsinhala,237693,Customer Retention,Digital Out-of-Home Screen,Airport Digital Display,Digital,Kalutara,96191,Young Professionals,77522,0.0311,0.91,0.0728,17,141502,1.0,0.6647,0.8714,0.805917,0.7037
Travel & Tourism,Affluent,Kollupitiya,216627,Product Launch,Print Publication Ad,Newspaper Half Page,Print,Colombo,28599,Affluent,95887,0.0191,0.86,0.0587,32,188028,0.8089,0.8609,0.9041,3.35281,0.6513
Retail,25-34,Battaramulla,661382,Product Launch,Newsletter Ad,Weekly Newsletter,Print,Colombo,17765,25-34,49153,0.0572,1.4,0.0614,6,643617,0.8943,0.8552,0.5877,2.766845,0.7841
Real Estate,35-44,Negombo,272773,Brand Awareness,Web Display Inventory,Interstitial Ad,Digital,Gampaha,35819,35-44,242479,0.0257,1.02,0.0814,20,236954,1.0,0.5481,0.5079,6.769564,0.7124
Retail,55+,Wellawatte,451765,Brand Awareness,Retail & Premises Signage,End Cap Display,Visual,Colombo,128344,55+,41614,0.0194,0.61,0.0437,76,323421,0.7131,0.7878,0.8121,0.324238,0.6572
Telecommunications,All Ages,Divulapitiya,135931,Customer Retention,Event Sponsorship,Session Sponsor,Event,Gampaha,175244,All Ages,25349,0.0496,0.62,0.0449,14,-39313,0.8878,0.5789,0.6081,0.14465,0.7211
Education,18-24,Dehiwala,82394,Sales Conversion,TV Spot,Sports Program,Audio,Colombo,451087,18-24,854181,0.0196,0.68,0.0336,34,-368693,0.8305,0.7552,0.5243,1.893606,0.5765
FMCG,18-24,Nugegoda,191235,Brand Awareness,Web Display Inventory,Banner Ad,Digital,Colombo,71989,18-24,432759,0.0155,0.51,0.0336,33,119246,0.9744,0.9354,0.6027,6.01146,0.686
Luxury Goods,25-34,Battaramulla,329818,Product Launch,TV Spot,Prime Time,Audio,Colombo,127790,25-34,646078,0.0298,0.89,0.0649,28,202028,0.9136,0.736,0.5952,5.055779,0.5933
Entertainment,18-24,Mahabage,303539,Lead Generation,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Gampaha,101989,18-24,44419,0.0338,0.45,0.0324,67,201550,0.9244,0.7304,0.7314,0.435527,0.6955
Education,55+,Divulapitiya,221261,Sales Conversion,Digital Out-of-Home Screen,Street Level Digital,Digital,Gampaha,206112,55+,45589,0.0247,0.69,0.0332,31,15149,0.7069,0.514,0.749,0.221186,0.5804
Financial Services,25-34,Kandana,483041,Brand Awareness,Digital Out-of-Home Screen,Street Level Digital,Digital,Gampaha,203217,25-34,59473,0.0534,0.92,0.0624,29,279824,1.0,0.7587,0.6343,0.292658,0.5918
Retail,All Ages,Mahabage,140530,Event Promotion,Outdoor Static Structure,Building Wrap,Digital,Gampaha,155155,All Ages,28858,0.0167,0.93,0.0446,33,-14625,0.9824,0.6098,0.796,0.185995,0.6169
Retail,25-34,Minuwangoda,299923,Sales Conversion,Vehicle Wrap Media,Car Wrap,Outdoor,Gampaha,55135,25-34,46616,0.0201,0.93,0.0783,53,244788,0.9017,0.7629,0.8504,0.845488,0.7456
Food & Beverage,Families,Divulapitiya,179194,Customer Retention,TV Spot,Sports Program,Audio,Gampaha,100748,Families,63242,0.0178,0.89,0.066,9,78446,0.9836,0.6169,0.8779,0.627725,0.7155
